epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4438,1.53765,2.44167,1.64622,0.71538,0.35565,0.38551,0.35363,0.83733,1.43393,1.13757,0.0739,0.0029,0.0029
2,134.173,1.25317,1.43461,1.41323,0.82298,0.46519,0.47022,0.37067,1.19787,1.06783,1.23206,0.0468416,0.00584159,0.00584159
3,200.867,1.22364,1.31793,1.28649,0.69845,0.14393,0.14161,0.10029,1.13604,2.35626,1.13216,0.0197238,0.00872378,0.00872378
4,272.281,1.22345,1.44295,1.22994,0.71304,0.38092,0.42405,0.29467,1.48375,1.82903,1.2382,0.009703,0.009703,0.009703
5,340.428,1.27677,1.31975,1.24128,0.57971,0.20763,0.40537,0.25323,1.76073,2.8799,1.32366,0.009604,0.009604,0.009604
6,408.367,1.20103,1.13125,1.17725,0.93914,0.47727,0.49151,0.35328,1.51944,0.8553,1.16915,0.009505,0.009505,0.009505
7,476.571,1.13513,0.86922,1.15025,0.86463,0.47968,0.49086,0.35923,1.24864,1.11403,1.09553,0.009406,0.009406,0.009406
8,548.351,1.13168,0.91184,1.13153,0.97914,0.47968,0.49593,0.37572,1.10883,0.82443,0.98433,0.009307,0.009307,0.009307
9,618.151,1.19349,0.8994,1.17022,0.97579,0.44635,0.49857,0.32558,1.51771,0.84306,1.21488,0.009208,0.009208,0.009208
10,691.67,1.07259,0.75365,1.0884,0.98566,0.48888,0.50575,0.35948,1.38045,0.71883,1.16526,0.009109,0.009109,0.009109
11,766.241,1.12927,0.79101,1.13724,0.9213,0.49726,0.50748,0.40287,0.95238,0.6089,0.90963,0.00901,0.00901,0.00901
12,838.787,1.06436,0.73651,1.09957,0.89238,0.49739,0.51012,0.36091,1.25219,0.61369,1.08158,0.008911,0.008911,0.008911
13,910.064,1.01336,0.67854,1.0982,0.97685,0.47968,0.50364,0.39699,0.88675,0.50516,0.90047,0.008812,0.008812,0.008812
14,980.899,1.04266,0.68737,1.08526,0.97842,0.47968,0.51005,0.38862,1.1024,0.59456,0.96818,0.008713,0.008713,0.008713
15,1053.4,1.05122,0.68588,1.08864,0.96914,0.47968,0.52199,0.40085,1.07042,0.57487,0.96641,0.008614,0.008614,0.008614
16,1127.12,1.0253,0.64839,1.09338,0.97651,0.47968,0.50229,0.39597,1.07126,0.54348,0.97038,0.008515,0.008515,0.008515
17,1201.69,0.9798,0.65019,1.07265,0.99354,0.47968,0.50073,0.39063,1.20131,0.54513,1.03112,0.008416,0.008416,0.008416
18,1274.66,1.01929,0.63798,1.07334,0.97941,0.47985,0.51658,0.4087,0.96268,0.50516,0.90949,0.008317,0.008317,0.008317
19,1346.43,0.92839,0.61197,1.04411,0.97071,0.47968,0.52879,0.42787,0.84862,0.47756,0.86212,0.008218,0.008218,0.008218
20,1419.4,0.95976,0.61663,1.05878,0.97635,0.47968,0.52943,0.42854,0.88535,0.506,0.88399,0.008119,0.008119,0.008119
21,1493.46,0.9891,0.63585,1.07685,0.98844,0.47968,0.52242,0.40355,1.05547,0.5583,0.95515,0.00802,0.00802,0.00802
22,1565.19,0.9927,0.64512,1.07321,0.97871,0.47968,0.522,0.41441,0.95727,0.51176,0.90972,0.007921,0.007921,0.007921
23,1635.3,0.95088,0.59795,1.04578,0.95212,0.48949,0.528,0.4361,0.71792,0.45171,0.83974,0.007822,0.007822,0.007822
24,1705.75,0.95033,0.60882,1.05665,0.92151,0.49831,0.51571,0.39006,0.99486,0.51548,0.92635,0.007723,0.007723,0.007723
25,1784.03,0.92506,0.60863,1.03773,0.98662,0.47968,0.5192,0.42134,0.81613,0.45587,0.85684,0.007624,0.007624,0.007624
26,1854.56,0.9287,0.59429,1.04932,0.988,0.47968,0.52993,0.4449,0.72778,0.4559,0.83615,0.007525,0.007525,0.007525
27,1930.19,0.97612,0.62509,1.06354,0.98848,0.47968,0.52165,0.38442,1.09119,0.53773,0.96801,0.007426,0.007426,0.007426
28,2003.07,0.87993,0.55849,1.01844,0.99104,0.47968,0.5372,0.41994,0.96688,0.57816,0.91373,0.007327,0.007327,0.007327
29,2084.96,0.92413,0.58631,1.01439,0.75468,0.55072,0.54767,0.41432,0.98659,0.50735,0.9345,0.007228,0.007228,0.007228
30,2163.84,0.95015,0.61059,1.05983,0.6582,0.54831,0.53897,0.44642,0.72754,0.49245,0.84512,0.007129,0.007129,0.007129
31,2237.33,0.90294,0.57842,1.04928,0.91023,0.47671,0.52383,0.45773,0.75994,0.50641,0.85472,0.00703,0.00703,0.00703
32,2317.42,0.94205,0.59448,1.05987,0.97372,0.47968,0.51192,0.46063,0.59605,0.40663,0.81339,0.006931,0.006931,0.006931
33,2398.86,0.91811,0.57393,1.03956,0.98231,0.47987,0.52035,0.45685,0.65473,0.38511,0.82882,0.006832,0.006832,0.006832
34,2473.91,0.85719,0.54555,1.01791,0.98807,0.47968,0.50964,0.44989,0.65423,0.41424,0.82316,0.006733,0.006733,0.006733
35,2549.38,0.88889,0.57036,1.01909,0.95901,0.47968,0.51584,0.44524,0.70842,0.40918,0.84002,0.006634,0.006634,0.006634
36,2620.59,0.87195,0.551,1.00928,0.99262,0.47968,0.53508,0.45958,0.60103,0.38198,0.80566,0.006535,0.006535,0.006535
37,2695.11,0.90227,0.54779,1.02235,0.98645,0.47968,0.53088,0.44794,0.75033,0.42541,0.84344,0.006436,0.006436,0.006436
38,2769.08,0.93612,0.59412,1.04372,0.97666,0.48856,0.54348,0.46685,0.67846,0.40839,0.83263,0.006337,0.006337,0.006337
39,2838.55,0.89082,0.56032,1.03204,0.98893,0.49033,0.54395,0.46457,0.64346,0.39296,0.81978,0.006238,0.006238,0.006238
40,2907.49,0.82019,0.51114,0.99492,0.95197,0.4913,0.54237,0.45127,0.69406,0.41358,0.82657,0.006139,0.006139,0.006139
41,2977.1,0.83266,0.52748,0.99424,0.9831,0.47968,0.52871,0.42509,0.83614,0.43777,0.86965,0.00604,0.00604,0.00604
42,3046.26,0.86906,0.54136,1.00013,0.97901,0.47968,0.53551,0.42709,0.81477,0.45066,0.86311,0.005941,0.005941,0.005941
43,3115.51,0.86919,0.54448,1.01018,0.95945,0.49007,0.53838,0.45012,0.7092,0.40452,0.82561,0.005842,0.005842,0.005842
44,3184.91,0.83952,0.51625,1.00314,0.98417,0.47996,0.53161,0.46907,0.6779,0.38817,0.82036,0.005743,0.005743,0.005743
45,3264.29,0.8624,0.5325,1.0143,0.98281,0.47968,0.53524,0.43253,0.88332,0.44309,0.87552,0.005644,0.005644,0.005644
46,3343.77,0.86091,0.55222,1.02016,0.97501,0.47968,0.53143,0.43578,0.73571,0.39858,0.82974,0.005545,0.005545,0.005545
47,3419.75,0.77421,0.47503,0.98986,0.98902,0.47994,0.53137,0.40283,1.10954,0.52988,1.00042,0.005446,0.005446,0.005446
48,3489.28,0.82964,0.51599,0.99387,0.97807,0.47968,0.5245,0.43564,0.72685,0.39608,0.83146,0.005347,0.005347,0.005347
49,3563.82,0.84507,0.52198,0.99863,0.70793,0.53836,0.53561,0.45909,0.63994,0.39136,0.80856,0.005248,0.005248,0.005248
50,3634.03,0.81254,0.50179,0.99211,0.64491,0.54078,0.53503,0.42941,0.76725,0.43124,0.84317,0.005149,0.005149,0.005149
51,3707.02,0.80364,0.4996,0.99508,0.98718,0.47968,0.54305,0.4765,0.6171,0.37788,0.80699,0.00505,0.00505,0.00505
52,3783.2,0.84208,0.52251,1.00737,0.9355,0.48949,0.5279,0.46563,0.60526,0.37743,0.80445,0.004951,0.004951,0.004951
53,3859.25,0.72866,0.45471,0.95896,0.67562,0.54803,0.55405,0.48446,0.60526,0.37263,0.80401,0.004852,0.004852,0.004852
54,3934.41,0.77716,0.4888,0.97367,0.65247,0.54962,0.55432,0.48377,0.57595,0.35891,0.80063,0.004753,0.004753,0.004753
55,4010.16,0.80558,0.50134,0.97846,0.64709,0.54305,0.54534,0.46009,0.68828,0.38731,0.82126,0.004654,0.004654,0.004654
56,4083.8,0.76454,0.46836,0.97029,0.67113,0.55153,0.55298,0.45571,0.69278,0.38702,0.81972,0.004555,0.004555,0.004555
57,4165.56,0.75505,0.47282,0.96691,0.65937,0.55972,0.55567,0.48365,0.60787,0.37296,0.80547,0.004456,0.004456,0.004456
58,4251.88,0.7876,0.4787,0.96775,0.97691,0.48009,0.52886,0.46814,0.59256,0.37942,0.79971,0.004357,0.004357,0.004357
59,4335.32,0.77592,0.47349,0.98444,0.70999,0.53059,0.54711,0.48969,0.48724,0.35549,0.78657,0.004258,0.004258,0.004258
60,4418.53,0.73938,0.46868,0.95599,0.98561,0.47968,0.54994,0.48854,0.56087,0.34511,0.79616,0.004159,0.004159,0.004159
61,4502.26,0.74572,0.47256,0.96009,0.69303,0.54561,0.55556,0.44693,0.79896,0.42901,0.85919,0.00406,0.00406,0.00406
