epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4089,1.53765,2.44167,1.64622,0.71538,0.35565,0.38551,0.35363,0.83733,1.43393,1.13757,0.0739,0.0029,0.0029
2,136.386,1.24889,1.42697,1.39978,0.83261,0.4507,0.46538,0.37225,1.11717,1.0198,1.15937,0.0467832,0.00578318,0.00578318
3,204.881,1.19045,1.27568,1.27299,0.6149,0.11956,0.22327,0.1667,1.30229,2.65849,1.52765,0.0195476,0.00854756,0.00854756
4,275.345,1.20706,1.37912,1.20461,0.78859,0.47716,0.47599,0.30856,1.6086,1.06934,1.16421,0.009406,0.009406,0.009406
5,345.017,1.26698,1.19837,1.22067,0.86387,0.4821,0.48465,0.29654,1.75713,1.38191,1.30031,0.009208,0.009208,0.009208
6,414.72,1.17729,0.99817,1.13469,0.89086,0.45794,0.46302,0.34831,1.43859,1.0582,1.12391,0.00901,0.00901,0.00901
7,485.032,1.11436,0.80097,1.10002,0.90488,0.47952,0.48802,0.35706,1.29889,0.91782,1.07203,0.008812,0.008812,0.008812
8,554.754,1.17043,0.80077,1.13834,0.9825,0.47968,0.50381,0.36501,1.13653,0.65209,0.98409,0.008614,0.008614,0.008614
9,623.619,1.21089,0.81424,1.14627,0.96565,0.47965,0.49727,0.38397,1.17089,0.63378,1.00947,0.008416,0.008416,0.008416
10,692.839,1.05483,0.74119,1.06697,0.78773,0.46988,0.45338,0.33325,1.34231,0.91366,1.08882,0.008218,0.008218,0.008218
11,764.564,1.09887,0.76247,1.10851,0.95313,0.47362,0.49954,0.37002,1.15177,0.67164,0.99923,0.00802,0.00802,0.00802
12,835.895,1.03156,0.72397,1.06724,0.98436,0.47968,0.49888,0.36262,1.14276,0.57796,0.98732,0.007822,0.007822,0.007822
13,908.148,1.0228,0.69553,1.09529,0.97873,0.47968,0.49491,0.32746,1.50504,0.6672,1.1832,0.007624,0.007624,0.007624
14,980.738,1.01675,0.66705,1.07003,0.98253,0.47968,0.51069,0.43429,0.86,0.52722,0.88665,0.007426,0.007426,0.007426
15,1055.34,1.04464,0.67587,1.08877,0.9912,0.47968,0.50779,0.43225,0.83807,0.49562,0.89145,0.007228,0.007228,0.007228
16,1129.11,0.99597,0.62458,1.08361,0.97707,0.47968,0.50776,0.4172,0.91358,0.48346,0.90466,0.00703,0.00703,0.00703
17,1200.97,0.94522,0.61551,1.06327,0.98086,0.47968,0.50309,0.4107,0.92427,0.50698,0.90843,0.006832,0.006832,0.006832
18,1274.98,0.96894,0.61831,1.04314,0.97282,0.47968,0.5031,0.41619,0.90087,0.481,0.89925,0.006634,0.006634,0.006634
19,1347.28,0.92917,0.60031,1.03116,0.98526,0.47801,0.50015,0.4247,0.79631,0.48087,0.8568,0.006436,0.006436,0.006436
20,1421.79,0.96007,0.5955,1.05925,0.98368,0.48007,0.49576,0.39452,1.04306,0.52964,0.92588,0.006238,0.006238,0.006238
21,1493.42,0.96556,0.60259,1.06216,0.98428,0.47968,0.51045,0.40772,0.99915,0.50452,0.92364,0.00604,0.00604,0.00604
22,1564.89,0.94695,0.59494,1.05518,0.98292,0.47968,0.50701,0.41227,0.94104,0.48856,0.89483,0.005842,0.005842,0.005842
23,1638.38,0.92257,0.57556,1.02764,0.97893,0.47968,0.50537,0.45088,0.67091,0.42774,0.81966,0.005644,0.005644,0.005644
24,1715.58,0.88987,0.56355,1.01971,0.96795,0.47968,0.51707,0.43655,0.77821,0.46567,0.84101,0.005446,0.005446,0.005446
25,1789.32,0.90131,0.56798,1.01181,0.98966,0.47968,0.51486,0.384,1.14696,0.53942,0.96629,0.005248,0.005248,0.005248
26,1863.96,0.89751,0.57784,1.02298,0.99053,0.47982,0.50582,0.44339,0.79854,0.45701,0.86104,0.00505,0.00505,0.00505
27,1934.66,0.95271,0.62586,1.03708,0.98544,0.47968,0.49782,0.42198,0.91378,0.50666,0.8919,0.004852,0.004852,0.004852
28,2008.1,0.82261,0.52962,0.9856,0.98795,0.47968,0.50998,0.44134,0.80369,0.446,0.85144,0.004654,0.004654,0.004654
29,2077.71,0.88639,0.54923,0.99203,0.98178,0.47968,0.50492,0.43729,0.80362,0.46569,0.85008,0.004456,0.004456,0.004456
