epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6326,1.53527,2.35764,1.61358,0.37944,0.36955,0.25281,0.18105,1.26655,2.21673,1.48227,0.0705,0.00327778,0.00327778
2,178.559,1.28278,1.44023,1.38859,0.72356,0.44808,0.46314,0.35719,1.22689,1.12903,1.14577,0.0404345,0.00654566,0.00654566
3,261.737,1.181,1.35796,1.25633,0.85773,0.47485,0.47401,0.36819,1.14941,1.03981,1.03293,0.0103031,0.00974754,0.00974754
4,343.874,1.1603,1.3388,1.17458,0.80547,0.46358,0.4797,0.34797,1.31876,1.05247,1.02958,0.009703,0.009703,0.009703
5,413.078,1.23227,1.35764,1.16669,0.70448,0.47727,0.48745,0.34013,1.32191,0.94619,0.98358,0.009604,0.009604,0.009604
6,483.635,1.27107,1.06478,1.18681,0.5845,0.34635,0.40028,0.30416,1.18967,1.93135,0.98045,0.009505,0.009505,0.009505
7,551.527,1.16711,0.93694,1.11947,0.97408,0.47968,0.49723,0.35337,1.30609,0.64437,1.02406,0.009406,0.009406,0.009406
8,619.513,1.13345,0.8788,1.10188,0.98469,0.47968,0.50013,0.37593,1.22954,0.62978,0.99109,0.009307,0.009307,0.009307
9,687.959,1.21512,0.81777,1.14729,0.98006,0.47968,0.50053,0.31855,1.45927,0.65345,1.06951,0.009208,0.009208,0.009208
10,756.251,1.14043,0.77979,1.12334,0.9591,0.47899,0.50632,0.36212,1.27997,0.62787,1.03203,0.009109,0.009109,0.009109
11,823.724,1.17012,0.79185,1.12428,0.96299,0.47968,0.5146,0.38931,1.08425,0.63278,0.95383,0.00901,0.00901,0.00901
12,891.217,1.10155,0.75175,1.09864,0.99112,0.47968,0.49572,0.40108,0.99859,0.60004,0.91851,0.008911,0.008911,0.008911
13,958.846,1.06458,0.72559,1.08845,0.94805,0.47968,0.50063,0.3608,1.32116,0.63686,1.04747,0.008812,0.008812,0.008812
14,1026.28,1.11889,0.74047,1.10038,0.94181,0.4676,0.46593,0.35874,1.3336,0.87985,1.06314,0.008713,0.008713,0.008713
15,1093.9,1.13009,0.79053,1.11567,0.97051,0.46579,0.48633,0.42182,0.95557,0.61131,0.91162,0.008614,0.008614,0.008614
16,1161.73,1.021,0.72475,1.06684,0.9831,0.47949,0.49809,0.39735,1.00868,0.57339,0.9103,0.008515,0.008515,0.008515
17,1229,1.07385,0.69217,1.07612,0.98191,0.47968,0.5138,0.43156,0.91465,0.53062,0.88915,0.008416,0.008416,0.008416
18,1296.18,1.04015,0.67404,1.07972,0.97685,0.49045,0.53628,0.41695,0.93347,0.52636,0.89193,0.008317,0.008317,0.008317
19,1363.62,1.03097,0.65153,1.06434,0.98248,0.47968,0.5162,0.41462,0.92238,0.53664,0.87612,0.008218,0.008218,0.008218
20,1431.45,1.03571,0.70061,1.06916,0.84481,0.5287,0.53987,0.41141,0.98186,0.54886,0.9001,0.008119,0.008119,0.008119
21,1505.93,1.07973,0.7044,1.09613,0.98331,0.47968,0.50736,0.39152,1.08566,0.63922,0.94002,0.00802,0.00802,0.00802
22,1593.04,1.03462,0.70473,1.05734,0.98257,0.47777,0.51407,0.44002,0.83374,0.60207,0.85774,0.007921,0.007921,0.007921
23,1678.35,1.00899,0.64926,1.03283,0.98001,0.49004,0.53783,0.45124,0.775,0.49607,0.836,0.007822,0.007822,0.007822
24,1765.23,0.99556,0.63254,1.05107,0.97041,0.47485,0.49828,0.43577,0.77825,0.56971,0.84494,0.007723,0.007723,0.007723
25,1853.51,0.98902,0.6344,1.06127,0.98307,0.47968,0.51362,0.46577,0.7286,0.46539,0.82889,0.007624,0.007624,0.007624
26,1924.78,1.02197,0.64143,1.07848,0.98167,0.47968,0.51671,0.46156,0.78855,0.47867,0.83581,0.007525,0.007525,0.007525
27,1995.19,1.00313,0.66672,1.05958,0.81436,0.53882,0.54046,0.44831,0.84144,0.50991,0.8488,0.007426,0.007426,0.007426
28,2064.55,0.91376,0.58829,1.02016,0.99237,0.47968,0.53255,0.39798,1.13113,0.57194,0.97588,0.007327,0.007327,0.007327
29,2136.57,0.99789,0.64389,1.03542,0.69983,0.53386,0.53763,0.43411,0.84537,0.47641,0.86443,0.007228,0.007228,0.007228
30,2212.02,0.98806,0.62406,1.04896,0.98341,0.47968,0.52033,0.4513,0.75256,0.4551,0.83801,0.007129,0.007129,0.007129
31,2282.45,0.96827,0.60186,1.04835,0.98903,0.47968,0.52715,0.44144,0.79934,0.43148,0.83861,0.00703,0.00703,0.00703
32,2354.77,0.97123,0.61521,1.04268,0.77424,0.50171,0.52935,0.43753,0.81341,0.44697,0.84323,0.006931,0.006931,0.006931
33,2426.06,0.94159,0.61799,1.03393,0.97144,0.48859,0.53238,0.46163,0.68919,0.42444,0.81605,0.006832,0.006832,0.006832
34,2496.73,0.92671,0.58342,1.01528,0.86094,0.50915,0.54032,0.41008,0.99797,0.47518,0.89816,0.006733,0.006733,0.006733
35,2569.38,0.91543,0.59351,1.02127,0.9887,0.47968,0.51959,0.43543,0.74531,0.44819,0.82627,0.006634,0.006634,0.006634
36,2639.72,0.8984,0.5853,1.01598,0.98621,0.47991,0.52659,0.42918,0.8107,0.42562,0.8366,0.006535,0.006535,0.006535
37,2712.03,0.89989,0.5565,1.01105,0.98923,0.47981,0.53107,0.42958,0.8537,0.44186,0.84241,0.006436,0.006436,0.006436
38,2782.91,0.94538,0.58856,1.03373,0.9755,0.48855,0.53317,0.42747,0.78011,0.43949,0.82436,0.006337,0.006337,0.006337
39,2855.6,0.9109,0.56728,1.02826,0.98752,0.47988,0.51838,0.44211,0.72424,0.4191,0.81528,0.006238,0.006238,0.006238
40,2926.11,0.86919,0.53799,1.00349,0.98192,0.47985,0.53874,0.44696,0.78807,0.42933,0.83083,0.006139,0.006139,0.006139
