epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.488,1.26129,1.53314,1.3826,0.50605,0.27778,0.29617,0.12717,1.93069,2.52297,1.55352,0.08614,0.00014,0.00014
2,131.334,1.07256,0.86916,1.2317,0.92008,0.36305,0.52055,0.17797,2.37063,2.6136,2.18004,0.0712881,0.000288086,0.000288086
3,195.908,1.01704,0.82714,1.20139,0.75996,0.83419,0.82095,0.52141,1.35956,1.90662,1.30446,0.0564342,0.000434192,0.000434192
4,260.245,1.03096,0.79241,1.18499,0.98196,0.86752,0.86673,0.60501,1.21256,0.86057,1.22728,0.0415783,0.000578318,0.000578318
5,324.507,0.92492,0.74429,1.12257,0.98414,0.86752,0.86679,0.64497,0.98313,1.84159,1.11589,0.0267205,0.000720464,0.000720464
6,388.441,0.97692,0.7184,1.19946,0.9892,0.86752,0.86594,0.71101,0.75317,1.43816,0.99126,0.0118606,0.00086063,0.00086063
7,453.068,1.00254,0.70271,1.22318,0.89405,0.85481,0.86678,0.66696,0.8526,0.93603,1.04156,0.0009604,0.0009604,0.0009604
8,517.623,1.02138,0.67269,1.21114,0.88514,0.86752,0.86845,0.73447,0.70817,1.76345,0.95331,0.0009538,0.0009538,0.0009538
9,581.828,0.89832,0.6158,1.11978,0.99257,0.83568,0.86975,0.74387,0.70961,1.12537,0.94602,0.0009472,0.0009472,0.0009472
10,645.902,0.93407,0.65965,1.18338,0.99203,0.86752,0.86752,0.70893,0.73583,0.55373,0.96217,0.0009406,0.0009406,0.0009406
11,709.831,0.91256,0.65356,1.16805,0.93577,0.86752,0.86814,0.7583,0.58656,1.28419,0.89966,0.000934,0.000934,0.000934
12,774.286,0.9174,0.64451,1.1687,0.96285,0.86752,0.86599,0.6835,0.83307,0.70311,1.01103,0.0009274,0.0009274,0.0009274
13,838.364,0.82813,0.63394,1.103,0.96674,0.84537,0.8685,0.72845,0.76857,0.61361,0.97581,0.0009208,0.0009208,0.0009208
14,902.106,0.86012,0.64184,1.13996,0.97045,0.84718,0.86957,0.75207,0.61443,0.50778,0.9118,0.0009142,0.0009142,0.0009142
15,966.279,0.82754,0.59811,1.11371,0.98409,0.84188,0.87078,0.7046,0.8552,0.64453,1.03626,0.0009076,0.0009076,0.0009076
16,1030.12,0.845,0.61895,1.12777,0.98848,0.86752,0.87138,0.75843,0.65338,0.45457,0.93321,0.000901,0.000901,0.000901
17,1094.16,0.81469,0.56916,1.10994,0.97258,0.86752,0.88122,0.76251,0.64397,0.40988,0.93014,0.0008944,0.0008944,0.0008944
18,1158.22,0.78851,0.53028,1.09916,0.95228,0.86752,0.88319,0.78775,0.59373,0.45461,0.89036,0.0008878,0.0008878,0.0008878
19,1222.28,0.81638,0.57727,1.11991,0.9861,0.86752,0.87038,0.73274,0.72421,0.47474,0.98262,0.0008812,0.0008812,0.0008812
20,1286.03,0.78357,0.55669,1.10283,0.98657,0.86752,0.8694,0.768,0.58393,0.52856,0.90774,0.0008746,0.0008746,0.0008746
21,1350,0.74827,0.52392,1.06184,0.98873,0.86752,0.87099,0.80109,0.46057,0.38679,0.85742,0.000868,0.000868,0.000868
22,1414.1,0.71096,0.48799,1.0489,0.99295,0.86752,0.87141,0.75702,0.58282,0.34236,0.89957,0.0008614,0.0008614,0.0008614
23,1478.05,0.82047,0.53226,1.11221,0.98894,0.86752,0.87086,0.71851,0.742,0.39892,0.94917,0.0008548,0.0008548,0.0008548
24,1542.06,0.79664,0.53332,1.10915,0.9816,0.86752,0.8722,0.61327,1.13492,0.52223,1.1485,0.0008482,0.0008482,0.0008482
25,1606.29,0.83265,0.52773,1.11517,0.98258,0.86752,0.87038,0.71433,0.74392,0.48629,0.97345,0.0008416,0.0008416,0.0008416
26,1670.5,0.84771,0.52801,1.10679,0.98679,0.86752,0.87205,0.6938,0.8045,0.50281,0.98364,0.000835,0.000835,0.000835
27,1734.35,0.78698,0.53459,1.10008,0.98436,0.86752,0.87097,0.72295,0.66396,0.42465,0.93163,0.0008284,0.0008284,0.0008284
28,1798.37,0.71421,0.47278,1.03911,0.96463,0.86752,0.8678,0.7549,0.59588,0.38259,0.91259,0.0008218,0.0008218,0.0008218
29,1862.34,0.7949,0.50896,1.09204,0.98418,0.86752,0.86822,0.77905,0.52285,0.34736,0.88022,0.0008152,0.0008152,0.0008152
30,1926.4,0.71981,0.47488,1.05099,0.99371,0.86752,0.86843,0.75546,0.50974,0.34596,0.87303,0.0008086,0.0008086,0.0008086
31,1990.71,0.7244,0.46634,1.0431,0.98629,0.86752,0.86781,0.72372,0.65425,0.37359,0.91669,0.000802,0.000802,0.000802
32,2054.75,0.70687,0.47519,1.04259,0.98963,0.86752,0.86769,0.7363,0.72289,0.37909,0.94158,0.0007954,0.0007954,0.0007954
33,2118.65,0.74792,0.51365,1.05603,0.98918,0.86752,0.86849,0.75007,0.67439,0.4342,0.93031,0.0007888,0.0007888,0.0007888
34,2183.52,0.72357,0.47853,1.05656,0.9542,0.86752,0.86702,0.78199,0.51578,0.61452,0.88408,0.0007822,0.0007822,0.0007822
35,2248.44,0.72804,0.48544,1.05776,0.98887,0.86752,0.86727,0.76101,0.57605,0.37333,0.88922,0.0007756,0.0007756,0.0007756
36,2313.58,0.75511,0.49145,1.07941,0.98987,0.86752,0.87117,0.69919,0.82438,0.38677,0.97377,0.000769,0.000769,0.000769
37,2378.59,0.78307,0.49578,1.08393,0.98964,0.86752,0.87059,0.73035,0.73821,0.38645,0.94094,0.0007624,0.0007624,0.0007624
38,2443.67,0.77232,0.49819,1.07639,0.895,0.86752,0.863,0.75854,0.57943,0.52623,0.90384,0.0007558,0.0007558,0.0007558
39,2508.55,0.75406,0.48815,1.08274,0.98958,0.8591,0.86603,0.76928,0.56435,0.40779,0.88731,0.0007492,0.0007492,0.0007492
40,2574.09,0.73623,0.50944,1.07969,0.99229,0.86752,0.87287,0.76813,0.54269,0.33801,0.88047,0.0007426,0.0007426,0.0007426
41,2639.14,0.71884,0.47326,1.05412,0.99323,0.86752,0.87954,0.75889,0.57032,0.32259,0.88208,0.000736,0.000736,0.000736
