epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9041,1.5315,2.28886,1.63365,0.85112,0.40767,0.43619,0.34648,1.0867,1.34326,1.35797,0.0705,0.00327778,0.00327778
2,91.8871,1.1702,1.30042,1.37379,0.80387,0.4495,0.43663,0.28128,1.19792,2.20001,1.36204,0.0404782,0.00658929,0.00658929
3,138.096,1.08181,1.27541,1.23831,0.70401,0.47968,0.47962,0.36119,1.24188,1.41696,1.09156,0.0104344,0.00987881,0.00987881
