epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3086.95,0.43072,0.43954,0.88488,0.99067,0.90476,0.93751,0.9054,0.31446,0.40784,0.81939,0.005842,0.005842,0.005842
44,3154.35,0.43463,0.45087,0.88823,0.99333,0.90476,0.93141,0.90512,0.26218,0.35581,0.80784,0.005743,0.005743,0.005743
45,3222.03,0.43667,0.43753,0.89305,0.99445,0.90476,0.92546,0.90099,0.26511,0.35835,0.81078,0.005644,0.005644,0.005644
46,3289.44,0.41374,0.42499,0.87584,0.98716,0.90476,0.92298,0.88818,0.28246,0.35044,0.81309,0.005545,0.005545,0.005545
47,3357.35,0.42467,0.41889,0.89386,0.99314,0.90476,0.93007,0.90613,0.25925,0.35835,0.80925,0.005446,0.005446,0.005446
48,3425.06,0.40039,0.41607,0.8764,0.99209,0.90476,0.93025,0.90274,0.26772,0.34501,0.81107,0.005347,0.005347,0.005347
49,3492.36,0.41736,0.42769,0.87709,0.98266,0.90476,0.91605,0.89809,0.24844,0.35076,0.8111,0.005248,0.005248,0.005248
50,3560.76,0.41938,0.42176,0.8867,0.98644,0.90476,0.93819,0.92019,0.26677,0.33512,0.81403,0.005149,0.005149,0.005149
51,3628.95,0.40143,0.40215,0.87358,0.99216,0.90476,0.94238,0.91945,0.23145,0.32227,0.80896,0.00505,0.00505,0.00505
52,3696.65,0.39013,0.40682,0.87662,0.99252,0.90476,0.95364,0.92613,0.26364,0.33859,0.81577,0.004951,0.004951,0.004951
53,3764.9,0.40039,0.39033,0.87593,0.99613,0.90655,0.95433,0.92031,0.28783,0.32323,0.82019,0.004852,0.004852,0.004852
54,3833,0.38512,0.39137,0.8704,0.99548,0.90476,0.95119,0.9346,0.24481,0.31805,0.80767,0.004753,0.004753,0.004753
55,3901.29,0.40588,0.39904,0.86938,0.99222,0.90476,0.94593,0.9158,0.25261,0.34616,0.80799,0.004654,0.004654,0.004654
56,3968.11,0.39172,0.38593,0.87029,0.9916,0.90476,0.93734,0.91688,0.25689,0.31726,0.80756,0.004555,0.004555,0.004555
57,4035.37,0.39599,0.39121,0.87515,0.99291,0.90476,0.94397,0.911,0.25873,0.3147,0.80536,0.004456,0.004456,0.004456
58,4102.09,0.39703,0.3893,0.88108,0.99135,0.90476,0.94631,0.92486,0.24039,0.3068,0.80519,0.004357,0.004357,0.004357
59,4169.31,0.38578,0.38602,0.87414,0.99068,0.90476,0.95268,0.92849,0.21936,0.29378,0.80416,0.004258,0.004258,0.004258
60,4239.38,0.38031,0.37313,0.85926,0.99281,0.90476,0.94837,0.92813,0.22772,0.29389,0.80633,0.004159,0.004159,0.004159
61,4309.52,0.36408,0.35568,0.86023,0.99341,0.90476,0.94617,0.91984,0.23571,0.2918,0.80685,0.00406,0.00406,0.00406
62,4378.26,0.3754,0.36322,0.85783,0.9925,0.90476,0.95478,0.92359,0.22867,0.28555,0.80487,0.003961,0.003961,0.003961
63,4449.51,0.35662,0.35006,0.8573,0.99273,0.90476,0.93197,0.91665,0.21187,0.27662,0.80161,0.003862,0.003862,0.003862
64,4523.4,0.37125,0.3581,0.86759,0.99443,0.90476,0.93323,0.91416,0.20533,0.28847,0.8016,0.003763,0.003763,0.003763
65,4589.95,0.35898,0.3589,0.8693,0.99262,0.90476,0.9435,0.91888,0.22782,0.29162,0.79974,0.003664,0.003664,0.003664
66,4656.74,0.35855,0.35013,0.8596,0.99617,0.90727,0.96125,0.94001,0.21765,0.27524,0.79936,0.003565,0.003565,0.003565
67,4723.36,0.35534,0.34905,0.86253,0.99174,0.90476,0.94599,0.92636,0.20776,0.2784,0.79982,0.003466,0.003466,0.003466
68,4791.85,0.3643,0.35416,0.86999,0.9912,0.90476,0.94877,0.92484,0.22405,0.28454,0.80045,0.003367,0.003367,0.003367
69,4864.92,0.34656,0.34239,0.86071,0.99113,0.90476,0.94509,0.92289,0.2197,0.25049,0.79996,0.003268,0.003268,0.003268
70,4934.16,0.33883,0.34498,0.85643,0.99295,0.90476,0.94224,0.92263,0.20892,0.25216,0.80071,0.003169,0.003169,0.003169
71,5002.6,0.34479,0.33413,0.86673,0.9961,0.90675,0.94693,0.92524,0.19671,0.24817,0.80002,0.00307,0.00307,0.00307
72,5069.49,0.31017,0.31834,0.84001,0.99525,0.90476,0.93787,0.91411,0.20532,0.24383,0.79705,0.002971,0.002971,0.002971
73,5136.01,0.33857,0.35133,0.8593,0.99641,0.90654,0.94275,0.92584,0.20743,0.2621,0.79913,0.002872,0.002872,0.002872
74,5202.39,0.33495,0.33403,0.86755,0.99496,0.90476,0.93871,0.91776,0.20308,0.24434,0.79654,0.002773,0.002773,0.002773
75,5269.49,0.31366,0.31911,0.85772,0.99415,0.90476,0.9377,0.92615,0.20353,0.25464,0.7974,0.002674,0.002674,0.002674
76,5336.19,0.32151,0.33204,0.8542,0.99236,0.90476,0.94506,0.92818,0.2039,0.24834,0.80116,0.002575,0.002575,0.002575
77,5403.25,0.32877,0.31952,0.86337,0.99681,0.90666,0.95459,0.93277,0.20881,0.25607,0.79789,0.002476,0.002476,0.002476
78,5470.17,0.31815,0.32422,0.85345,0.99358,0.90476,0.94674,0.91456,0.20243,0.2443,0.7961,0.002377,0.002377,0.002377
79,5537.95,0.30944,0.31239,0.84648,0.99696,0.90689,0.9595,0.93093,0.20365,0.24548,0.7958,0.002278,0.002278,0.002278
80,5604.72,0.30954,0.31001,0.85603,0.99544,0.90656,0.95127,0.92296,0.19368,0.24363,0.79489,0.002179,0.002179,0.002179
81,5671.52,0.29282,0.29983,0.84348,0.99601,0.90702,0.94704,0.9218,0.20011,0.25043,0.79628,0.00208,0.00208,0.00208
82,5742.08,0.29746,0.29383,0.84224,0.9962,0.90735,0.94772,0.92656,0.18963,0.23988,0.79269,0.001981,0.001981,0.001981
83,5811.18,0.34647,0.33521,0.87786,0.99643,0.90733,0.96383,0.94514,0.17267,0.22685,0.79117,0.001882,0.001882,0.001882
84,5879.61,0.30016,0.30843,0.85283,0.99312,0.90476,0.94303,0.92439,0.1826,0.23022,0.79302,0.001783,0.001783,0.001783
85,5949.2,0.30453,0.29456,0.85243,0.99384,0.90476,0.93914,0.92658,0.17341,0.22016,0.79267,0.001684,0.001684,0.001684
86,6018.53,0.30038,0.29241,0.85214,0.99293,0.90476,0.94423,0.92714,0.17587,0.21576,0.79139,0.001585,0.001585,0.001585
87,6088.29,0.29908,0.29083,0.84234,0.99349,0.90476,0.94851,0.92737,0.16656,0.21402,0.78973,0.001486,0.001486,0.001486
88,6159.56,0.29269,0.2916,0.84349,0.99467,0.90476,0.9538,0.92962,0.17854,0.22725,0.79063,0.001387,0.001387,0.001387
89,6226.14,0.30953,0.30041,0.86667,0.99435,0.90476,0.94788,0.92815,0.17386,0.22554,0.79079,0.001288,0.001288,0.001288
90,6293.95,0.29745,0.29608,0.84745,0.99415,0.90476,0.95051,0.92783,0.17128,0.22316,0.79029,0.001189,0.001189,0.001189
91,6364.61,0.24486,0.29406,0.80762,0.99644,0.90746,0.95656,0.93342,0.18335,0.23395,0.79184,0.00109,0.00109,0.00109
92,6433.88,0.24053,0.28884,0.79139,0.99679,0.90692,0.95298,0.92746,0.17146,0.22403,0.79058,0.000991,0.000991,0.000991
93,6506.35,0.25086,0.28856,0.78077,0.99715,0.90652,0.95017,0.92785,0.17389,0.21541,0.79066,0.000892,0.000892,0.000892
94,6577.64,0.24403,0.28007,0.79704,0.99434,0.90476,0.94703,0.93016,0.17529,0.20739,0.79171,0.000793,0.000793,0.000793
95,6649.52,0.22715,0.27611,0.79651,0.99304,0.90476,0.93864,0.92543,0.177,0.21278,0.79152,0.000694,0.000694,0.000694
96,6723.31,0.23271,0.2724,0.79557,0.9959,0.90747,0.94437,0.92638,0.1682,0.2101,0.79018,0.000595,0.000595,0.000595
97,6797.86,0.23369,0.27463,0.79392,0.99582,0.90738,0.94288,0.92658,0.16839,0.21018,0.78964,0.000496,0.000496,0.000496
98,6868.55,0.23723,0.27068,0.80134,0.99588,0.90726,0.9434,0.92849,0.15886,0.20651,0.78956,0.000397,0.000397,0.000397
99,6943.71,0.23211,0.27504,0.79009,0.99601,0.90722,0.94511,0.92661,0.15582,0.2089,0.78863,0.000298,0.000298,0.000298
100,7015.82,0.21728,0.25577,0.78235,0.99636,0.90719,0.94571,0.92855,0.15086,0.20182,0.7881,0.000199,0.000199,0.000199
